State,Set 1,Count 1,Set 2,Count 2,Set 3,Count 3
Andaman Nicobar,74,1,"41,42,43",3,"05,02,08,06,01,09,11,10,03,07,04",11
Andhra Pradesh,"50,53,51,52",4,"05,91,57,84,26,71,60,14,56,10,62,51,20,22,34,93,21,72,65,76,25,80,86,15,73,30,32,01,92,81,61,82,42,07,12,94,52,35,40,74,06,43,09,85,24,83,54,23,31,41,03,63,02,08,33,70,90,53,55,11,58,44,75,50,13,64,00,04",68,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,59,68,10,49,21,25,96,42,28,94,52,06,40,74,98,38,85,47,97,90,67,58,50,04,95,36,26,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",99
Arunachal Pradesh,79,1,"01,11,10,20,21,00",6,"12,22,02,20,15,14,13,01,55,11,10,51,03,21,23,04",16
Assam,78,1,"57,60,66,56,10,51,20,21,45,80,88,81,61,40,24,31,41,33,87,70,11,50,13",23,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,06,40,74,98,38,85,47,90,67,58,50,04,95,26,36,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",98
Bihar,"80,47,84,85,83,81,82",7,"36,71,14,60,22,20,51,21,72,45,15,73,30,32,81,82,42,12,52,74,43,85,83,54,23,31,41,33,53,55,11,44,13,00",34,"91,84,14,66,62,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,59,68,10,49,21,25,96,42,28,94,52,06,40,74,98,38,85,47,97,90,67,58,50,04,95,26,36,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",98
Chandigarh,16,1,"00,01",2,"26,36,14,59,10,22,20,16,01,19,61,12,06,18,09,23,31,17,02,08,55,11,03",23
Chhattisgarh,"48,46,49",3,"36,71,14,66,60,56,10,62,51,20,34,21,16,45,72,65,75,00,15,73,32,61,42,46,19,12,35,52,40,18,74,43,38,54,31,41,17,39,47,63,33,70,55,53,37,11,77,50,13,64,44",51,"91,84,14,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,00,05,69,59,68,10,49,21,25,96,42,28,52,06,74,40,38,85,47,90,67,58,50,04,95,26,36,60,22,20,79,16,45,76,80,15,73,01,43,63,08,53,11,75,27,57,71,56,51,34,30,88,92,61,19,07,78,12,83,23,31,41,02,33,87,55,37,13",94
Dadra & Nagar Haveli ,39,1,62,1,"40,30,35",3
Daman & Diu,"36,39",2,"25,62",2,"20,10",2
Delhi,11,1,00,1,"91,84,14,66,62,93,72,65,32,81,82,46,35,18,29,48,24,54,17,39,03,44,05,59,10,49,21,25,96,42,28,94,52,06,40,38,85,47,67,58,04,26,36,60,22,20,16,45,15,73,01,43,63,08,53,11,75,27,64,57,71,56,51,34,30,92,19,61,07,12,83,23,31,41,02,33,55,37,13",79
